instance=../instances/random-32-32-10_even-1_50agents.txt
agents=50
map_file=random-32-32-10.map
solver=RobustECBS-1.1
solved=1
soc=1086
makespan=46
comp_time=5913
starts=(30,5),(23,18),(16,6),(18,1),(2,25),(17,29),(0,21),(23,2),(31,0),(17,27),(21,18),(6,10),(30,25),(7,21),(31,22),(12,28),(13,19),(0,15),(28,29),(19,22),(8,5),(20,24),(2,5),(18,17),(13,1),(18,18),(16,21),(20,31),(4,15),(8,28),(25,3),(13,13),(28,5),(1,11),(13,29),(22,27),(20,4),(29,10),(17,26),(22,30),(28,3),(18,12),(29,26),(24,14),(24,29),(14,25),(20,1),(28,1),(9,10),(20,8),
goals=(28,14),(23,27),(1,20),(29,29),(0,30),(31,0),(1,23),(2,27),(4,17),(16,19),(11,18),(29,18),(20,14),(6,19),(1,11),(12,5),(7,28),(9,0),(17,19),(19,23),(22,30),(19,30),(16,30),(20,20),(10,7),(15,23),(14,23),(22,6),(13,27),(5,1),(31,30),(27,2),(29,24),(17,30),(6,0),(3,16),(27,3),(28,13),(23,22),(25,2),(6,3),(25,15),(24,13),(2,9),(31,19),(20,6),(20,19),(18,24),(18,20),(24,2),
solution=
0:(30,5),(23,18),(16,6),(18,1),(2,25),(17,29),(0,21),(23,2),(31,0),(17,27),(21,18),(6,10),(30,25),(7,21),(31,22),(12,28),(13,19),(0,15),(28,29),(19,22),(8,5),(20,24),(2,5),(18,17),(13,1),(18,18),(16,21),(20,31),(4,15),(8,28),(25,3),(13,13),(28,5),(1,11),(13,29),(22,27),(20,4),(29,10),(17,26),(22,30),(28,3),(18,12),(29,26),(24,14),(24,29),(14,25),(20,1),(28,1),(9,10),(20,8),
1:(30,6),(23,19),(16,7),(19,1),(2,26),(17,28),(1,21),(23,3),(30,0),(16,27),(20,18),(7,10),(30,24),(7,20),(30,22),(12,27),(13,20),(0,14),(28,28),(19,23),(8,6),(20,25),(2,6),(19,17),(13,2),(18,19),(16,22),(20,30),(4,16),(8,27),(25,4),(14,13),(28,6),(1,12),(13,28),(22,26),(21,4),(29,11),(17,25),(23,30),(27,3),(18,13),(29,25),(24,13),(24,28),(14,24),(20,2),(28,2),(9,11),(20,7),
2:(30,7),(23,20),(16,8),(20,1),(2,27),(17,27),(1,22),(23,4),(30,1),(16,26),(19,18),(8,10),(29,24),(7,19),(29,22),(12,26),(13,21),(1,14),(28,27),(19,23),(9,6),(20,26),(2,7),(20,17),(13,3),(18,20),(16,23),(20,29),(4,17),(8,26),(25,5),(14,12),(28,7),(2,12),(13,27),(22,25),(22,4),(29,12),(17,24),(23,29),(26,3),(18,14),(28,25),(24,12),(24,27),(14,23),(20,2),(28,3),(9,12),(20,6),
3:(30,8),(23,21),(16,9),(20,1),(2,28),(17,26),(1,23),(23,5),(30,2),(16,25),(18,18),(9,10),(28,24),(6,19),(29,21),(12,25),(12,21),(1,13),(27,27),(19,23),(9,7),(20,27),(3,7),(20,18),(13,4),(17,20),(15,23),(19,29),(4,18),(8,25),(25,6),(14,11),(28,8),(2,13),(13,26),(22,24),(22,3),(29,13),(17,23),(23,28),(25,3),(19,14),(27,25),(23,12),(24,26),(13,23),(20,3),(28,4),(10,12),(21,6),
4:(30,9),(23,22),(16,10),(20,2),(2,29),(17,25),(1,23),(23,6),(30,3),(16,24),(18,17),(9,11),(27,24),(6,19),(29,20),(12,24),(12,22),(1,12),(27,26),(19,23),(9,8),(20,28),(3,8),(20,19),(13,5),(16,20),(14,23),(19,28),(4,19),(8,24),(25,7),(14,10),(28,9),(2,14),(13,25),(22,23),(23,3),(28,13),(17,22),(23,27),(25,2),(20,14),(26,25),(22,12),(24,25),(13,22),(20,4),(28,5),(10,13),(21,5),
5:(30,10),(24,22),(15,10),(20,3),(2,30),(17,24),(1,23),(22,6),(30,4),(16,23),(17,17),(10,11),(27,23),(6,19),(29,19),(12,23),(11,22),(1,11),(26,26),(19,23),(9,9),(20,29),(3,9),(20,20),(13,6),(16,21),(14,23),(19,27),(5,19),(8,23),(25,8),(14,9),(28,10),(2,15),(13,24),(21,23),(24,3),(28,13),(17,21),(23,26),(24,2),(21,14),(26,24),(21,12),(24,24),(13,21),(19,4),(28,6),(10,14),(21,4),
6:(30,11),(24,23),(14,10),(20,4),(1,30),(17,23),(1,23),(22,7),(30,5),(16,22),(16,17),(11,11),(27,22),(6,19),(29,18),(12,22),(11,23),(1,10),(25,26),(19,23),(9,10),(20,30),(3,10),(20,20),(13,7),(15,21),(14,23),(19,26),(5,20),(8,22),(25,9),(15,9),(28,11),(2,16),(13,23),(21,22),(25,3),(28,13),(18,21),(23,25),(23,2),(21,15),(26,23),(20,12),(25,24),(13,20),(19,5),(28,7),(10,15),(21,3),
7:(30,12),(24,24),(13,10),(21,4),(0,30),(17,22),(1,23),(22,8),(30,6),(16,21),(15,17),(12,11),(27,21),(6,19),(28,18),(12,21),(11,24),(1,9),(24,26),(19,23),(9,11),(19,30),(3,11),(20,20),(12,7),(15,22),(14,23),(19,25),(5,21),(8,21),(25,10),(16,9),(28,12),(2,17),(13,22),(21,21),(26,3),(28,13),(19,21),(23,24),(22,2),(22,15),(26,22),(19,12),(26,24),(13,19),(19,6),(28,8),(10,16),(22,3),
8:(29,12),(24,25),(12,10),(21,5),(0,30),(17,21),(1,23),(22,9),(30,7),(16,20),(14,17),(12,12),(27,20),(6,19),(27,18),(12,20),(11,25),(1,8),(23,26),(19,23),(9,12),(19,30),(3,12),(20,20),(11,7),(15,23),(14,23),(19,24),(5,22),(8,20),(25,11),(16,8),(28,12),(2,18),(13,21),(21,20),(27,3),(28,13),(20,21),(23,24),(21,2),(23,15),(26,21),(19,11),(26,23),(13,18),(19,7),(28,9),(10,17),(23,3),
9:(29,13),(24,26),(12,11),(21,6),(0,30),(17,20),(1,23),(22,10),(30,8),(16,19),(14,18),(12,13),(27,19),(6,19),(27,17),(12,19),(11,26),(1,7),(23,25),(19,23),(10,12),(19,30),(3,13),(20,20),(10,7),(15,23),(14,23),(18,24),(5,23),(8,19),(25,12),(16,7),(28,12),(2,19),(12,21),(21,19),(27,3),(28,13),(21,21),(24,24),(20,2),(24,15),(25,21),(18,11),(26,22),(13,17),(20,7),(28,10),(10,18),(23,2),
10:(29,14),(24,27),(12,12),(21,7),(0,30),(17,19),(1,23),(22,11),(30,9),(16,19),(13,18),(13,13),(27,18),(6,19),(26,17),(13,19),(11,27),(1,6),(23,24),(19,23),(10,13),(19,30),(3,14),(20,20),(10,7),(15,23),(14,23),(18,23),(6,23),(8,18),(25,13),(16,6),(29,12),(2,20),(12,20),(21,18),(27,3),(28,13),(22,21),(24,23),(20,1),(25,15),(24,21),(17,11),(26,21),(13,16),(20,8),(28,11),(10,19),(24,2),
11:(28,14),(23,27),(12,13),(21,8),(0,30),(18,19),(1,23),(22,12),(30,10),(16,19),(12,18),(14,13),(27,17),(6,19),(25,17),(14,19),(11,28),(1,5),(22,24),(19,23),(10,14),(19,30),(3,15),(20,20),(10,7),(15,23),(14,23),(18,22),(7,23),(8,17),(25,14),(17,6),(29,13),(2,21),(12,19),(21,17),(27,3),(28,13),(23,21),(24,22),(19,1),(25,15),(24,20),(16,11),(27,21),(13,15),(20,9),(27,11),(10,20),(24,2),
12:(28,14),(23,27),(12,14),(21,9),(0,30),(18,18),(1,23),(22,13),(30,11),(16,19),(11,18),(14,14),(27,16),(6,19),(24,17),(14,18),(10,28),(1,4),(22,23),(19,23),(10,15),(19,30),(3,16),(20,20),(10,7),(15,23),(14,23),(18,21),(7,24),(8,16),(26,14),(18,6),(29,14),(2,22),(12,19),(20,17),(27,3),(28,13),(23,22),(24,21),(18,1),(25,15),(24,19),(16,10),(27,20),(13,14),(20,10),(26,11),(11,20),(24,2),
13:(28,14),(23,27),(12,15),(22,9),(0,30),(19,18),(1,23),(22,14),(30,12),(16,19),(11,18),(15,14),(26,16),(6,19),(23,17),(14,17),(9,28),(1,3),(21,23),(19,23),(10,16),(19,30),(3,17),(20,20),(10,7),(15,23),(14,23),(18,20),(7,25),(7,16),(26,15),(19,6),(29,15),(2,23),(12,18),(19,17),(27,3),(28,13),(23,22),(24,20),(17,1),(25,15),(24,18),(15,10),(28,20),(13,13),(21,10),(26,12),(12,20),(24,2),
14:(28,14),(23,27),(11,15),(23,9),(0,30),(20,18),(1,23),(22,15),(29,12),(16,19),(11,18),(16,14),(25,16),(6,19),(22,17),(14,16),(8,28),(1,2),(21,22),(19,23),(10,17),(19,30),(3,18),(20,20),(10,7),(15,23),(14,23),(18,19),(7,26),(7,15),(27,15),(20,6),(29,16),(2,24),(12,17),(18,17),(27,3),(28,13),(23,22),(24,19),(16,1),(25,15),(24,17),(14,10),(29,20),(14,13),(21,11),(26,13),(13,20),(24,2),
15:(28,14),(23,27),(11,16),(23,10),(0,30),(21,18),(1,23),(22,16),(29,13),(16,19),(11,18),(16,15),(25,17),(6,19),(21,17),(14,15),(7,28),(1,1),(21,21),(19,23),(10,18),(19,30),(4,18),(20,20),(10,7),(15,23),(14,23),(18,18),(8,26),(6,15),(27,16),(21,6),(29,17),(2,25),(12,16),(17,17),(27,3),(28,13),(23,22),(24,18),(15,1),(25,15),(24,16),(13,10),(30,20),(14,12),(21,12),(25,13),(14,20),(24,2),
16:(28,14),(23,27),(11,17),(23,11),(0,30),(22,18),(1,23),(21,16),(29,14),(16,19),(11,18),(17,15),(24,17),(6,19),(20,17),(14,14),(7,28),(2,1),(21,20),(19,23),(10,19),(19,30),(4,19),(20,20),(10,7),(15,23),(14,23),(19,18),(8,27),(6,14),(27,17),(22,6),(29,18),(2,26),(12,15),(17,16),(27,3),(28,13),(23,22),(25,18),(14,1),(25,15),(24,15),(12,10),(30,19),(14,11),(21,13),(24,13),(15,20),(24,2),
17:(28,14),(23,27),(10,17),(23,12),(0,30),(23,18),(1,23),(21,17),(29,15),(16,19),(11,18),(18,15),(23,17),(6,19),(19,17),(14,13),(7,28),(3,1),(21,19),(19,23),(10,20),(19,30),(5,19),(20,20),(10,7),(15,23),(14,23),(20,18),(9,27),(6,13),(27,18),(23,6),(29,19),(3,26),(12,14),(16,16),(27,3),(28,13),(23,22),(25,17),(14,2),(25,15),(24,14),(11,10),(31,19),(14,10),(21,14),(23,13),(16,20),(24,2),
